"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Quantity","Description"
"MAX31856MUD+","Maxim Integrated","MAX31856MUD+-ND","U2-U5","4","IC CONV THERMOCOUPLE 14TSSOP"
"150060SS75000","Wurth Electronics Inc.","732-4979-1-ND","D0-D8","9","LED RED CLEAR 0603 SMD"
"S2B-PH-SM4-TB(LF)(SN)","JST Sales America Inc.","455-1749-1-ND","J0","1","CONN HEADER PH SIDE 2POS 2MM SMD"
"SPH-002T-P0.5L","JST Sales America Inc.","455-2148-1-ND","","2","CONN TERMINAL 28-24AWG TIN"
"PHR-2","JST Sales America Inc.","455-1165-ND","","1","CONN HOUSING PH 2POS 2MM WHITE"
"CD4050BPWR","Texas Instruments","296-31504-1-ND","U13","1","IC BUFF/CONVERTER HEX 16TSSOP"
"CUS05S30,H3F","Toshiba Semiconductor and Storage","CUS05S30H3FCT-ND","D9-D11","3","DIODE SCHOTTKY 30V 500MA USC"
"SBH341AS","MPD (Memory Protection Devices)","SBH341AS-ND","","1","HOLDER BATT W/COVR 4AA ON/OFF SW"
"1984963","Phoenix Contact","277-6354-ND","J2-J5","4","CONN TERM BLOCK 2POS 3.5MM"
"JS102011SAQN","C&K","401-1999-1-ND","SW0, SW1","2","SWITCH SLIDE SPDT 300MA 6V"
"CFS-20632768HZFB","Citizen Finedevice Co Ltd","300-8763-ND","Y1","1","CRYSTAL 32.7680KHZ 12.5PF T/H"
"PTS645SM43SMTR92 LFS","C&K","CKN9112CT-ND","SW2-SW4","3","SWITCH TACTILE SPST-NO 0.05A 12V"
"CHS-04TA","Nidec Copal Electronics","563-1007-1-ND","SW5","1","SWITCH SLIDE DIP SPST 100MA 6V"
"ERA-3AEB101V","Panasonic Electronic Components","P100DBCT-ND","R0-R7","8","RES SMD 100 OHM 0.1% 1/10W 0603"
"GCM155R71H103KA55D","Murata Electronics North America","490-4762-1-ND","C4-C12","9","CAP CER 10000PF 50V X7R 0402"
"HDSP-521E","Broadcom Limited","516-1206-5-ND","U11, U12","2","LED 7-SEG 14.2MM 2DIG CA HER RHD"
"LT1763CS8-3.3#PBF","Linear Technology/Analog Devices","LT1763CS8-3.3#PBF-ND","U1","1","IC REG LINEAR 3.3V 500MA 8SOIC"
"ABM3B-10.000MHZ-10-1-U-T","Abracon LLC","300-8195-1-ND","Y0","1","CRYSTAL 10.0000MHZ 10PF SMD"
"GJM1555C1H140GB01D","Murata Electronics North America","490-14443-1-ND","C0, C1","2","CAP CER 14PF 50V C0G/NP0 0402"
"GRM1555C1H180FA01D","Murata Electronics North America","490-6203-1-ND","C2, C3","2","CAP CER 18PF 50V C0G/NP0 0402"
"MM74HC595MTCX","ON Semiconductor","MM74HC595MTCXCT-ND","U6-U10","5","IC SHIFT REGISTER 8-BIT 16-TSSOP"
"30306-6002HB","3M","3M15451-ND","J6","1","CONN HEADER 6POS DL STR GOLD"
"ERJ-6ENF2000V","Panasonic Electronic Components","P200CCT-ND","R8-R49","42","RES SMD 200 OHM 1% 1/8W 0805"
"ERJ-2RKF4703X","Panasonic Electronic Components","P470KLCT-ND","R57-R59","3","RES SMD 470K OHM 1% 1/10W 0402"
"ERJ-2RKF1002X","Panasonic Electronic Components","P10.0KLCT-ND","R52-R56","5","RES SMD 10K OHM 1% 1/10W 0402"
"ERJ-2RKF1001X","Panasonic Electronic Components","P1.00KLCT-ND","R50, R51","2","RES SMD 1K OHM 1% 1/10W 0402"
"DM3BT-DSF-PEJS","Hirose Electric Co Ltd","HR1942CT-ND","J1","1","CONN MICRO SD CARD PUSH-PUSH R/A"
"GCM21BR72A104KA37K","Murata Electronics North America","490-8051-1-ND","C13-C16","4","CAP CER 0.1UF 100V X7R 0805"
"ATMEGA324PA-AU","Microchip Technology","ATMEGA324PA-AU-ND","U0","1","IC MCU 8BIT 32KB FLASH 44TQFP"
"GRM32DR71E106KA12K","Murata Electronics North America","490-6532-1-ND","C40","1","CAP CER 10UF 25V X7R 1210"
"EMK316BB7226ML-T","Taiyo Yuden","587-4319-1-ND","C41","1","CAP CER 22UF 16V X7R 1206"
"GCM155R71C104KA55D","Murata Electronics North America","490-4759-1-ND","C17-C39","22","CAP CER 0.1UF 16V X7R 0402"
